Time,Max Curvature,Min Curvature,Average Curvature,Flatness
0.0,1.0598273268874867,-0.6423538712627773,0.49245703603873087,0.4001456558469199
0.0,1.0598273268874867,-0.6423538712627773,0.49245703603873087,0.4001456558469199
0.005,1.0595890591834676,-0.6251195991584646,0.4922360790660625,0.3998772291072543
0.01,1.0586648897002435,-0.6077303089667352,0.4918918963563674,0.3995029638266655
0.015,1.0579974656671465,-0.5902218404343706,0.49142453541563175,0.39902319601809383
0.02,1.0564196638947616,-0.57263059044444,0.4908340749050925,0.39843830664729046
0.025,1.0551939274931421,-0.5549934057718726,0.49012062507628673,0.39774872138961026
0.03,1.053428473338554,-0.5373474743799992,0.48928432819339823,0.3969549104714932
0.035,1.0512908836196577,-0.5197302156262184,0.4883253589411679,0.39605738859478495
0.04,1.0491254185437902,-0.5021791697486556,0.48724392481665957,0.395056714941235
0.045,1.0462741279723746,-0.4847318870080369,0.48604026650320986,0.3939534932537399
0.05,1.0436329622875502,-0.467425816860002,0.4847146582249282,0.3927483719901582
0.055,1.0403681068480088,-0.4502981975327254,0.48326740808016,0.39144204454483467
0.06,1.037030645830617,-0.43338594638298816,0.48169885835238074,0.39003524953233576
0.065,1.0334279297675293,-0.41672555140078393,0.4800093857970396,0.38852877112732176
0.07,1.029119760981854,-0.4003529642281226,0.47819940190294535,0.386923439453972
0.075,1.0252750400109227,-0.3843034950519735,0.4762693531268427,0.3852201310179442
0.08,1.0205604657612022,-0.3686117097242494,0.4742197210999111,0.3834197691734874
0.085,1.015927547057344,-0.353311329453435,0.47205102280499084,0.38152332461805155
0.09,1.011052072706001,-0.3384351334029092,0.4697638107234254,0.37953181590654067
0.095,1.0055810243227339,-0.32401486452026385,0.46735867295049355,0.37744630997725026
0.1,1.0003240623244642,-0.3100811389100032,0.4648362332785007,0.37526792268150977
0.105,0.9944271580552564,-0.296663359048973,0.4621971512466832,0.3729978193091204
0.11,0.9884812636421327,-0.2837896311297604,0.4594421221571867,0.37063721510184083
0.115,0.9822462665133556,-0.27148668680219046,0.4565718770564731,0.3681873757474183
0.12,0.9756417095941541,-0.25977980956696045,0.4535871826816123,0.36564961784699934
0.125,0.9690618135499363,-0.24869276605847368,0.4504888413710245,0.36302530934917754
0.13,0.9618913080173503,-0.2382477424361289,0.4472776909393382,0.3603158699444339
0.135,0.9548266376960597,-0.22846528608473382,0.44395460451614016,0.35752277141431293
0.14,0.9473265018454686,-0.21936425280544547,0.44052049034850027,0.3546475379303308
0.145,0.9394464087456752,-0.2109617596587272,0.4369762915672611,0.3516917462983418
0.15,0.9318335911128736,-0.2032731436003793,0.43332298591719454,0.3486570261448804
0.155,0.9234713551923375,-0.19631192603076197,0.4295615854512287,0.3455450600428546
0.16,0.9153249714432979,-0.1900897833560281,0.4256931361890642,0.34235758357486884
0.165,0.9067650003521668,-0.1846165236385423,0.42171871774059727,0.3390963853334169
0.17,0.8977520165112347,-0.17990006939180947,0.4176394428946769,0.3357633068581849
0.175,0.8890137678752434,-0.17594644655321667,0.41345645717382395,0.3323602425117395
0.18,0.8795820653445061,-0.1727597796458108,0.40917093835563956,0.3288891392959517
0.185,0.8703964943723967,-0.17034229311826832,0.4047840959617311,0.32535199661259057
0.19,0.8608055241762047,-0.16869431883023656,0.40029717071507465,0.3217508659726449
0.195,0.8507898647340688,-0.16781430962843202,0.3957114339668281,0.3180878506600477
0.2,0.8410560367362672,-0.1676988589373446,0.3910281870936937,0.31436510535661744
0.205,0.8306906747346329,-0.16834272626719582,0.3862487608670156,0.310584835736165
0.21,0.8204118449873248,-0.1697388685210185,0.381374514794874,0.3067492980368473
0.215,0.8100157131892327,-0.17187847696243697,0.3764068364385159,0.30286079862197723
0.22,0.7990494617233153,-0.17475101968600626,0.3713471407045294,0.29892169354061204
0.225,0.7884619531349929,-0.1783442894128855,0.3661968691142363,0.29493438810034006
0.23,0.7774091610900862,-0.18264445641626048,0.36095748905183533,0.290901336465763
0.235,0.7660712834392194,-0.18763612636333105,0.355630492992882,0.28682504129722597
0.24,0.7549227724591813,-0.20232988881813818,0.3502173977147437,0.2827080534453645
0.245,0.7432555727911843,-0.21831297347833478,0.34471974349070533,0.2785529717180357
0.25,0.7317732681901108,-0.23457221607544942,0.33913909326944097,0.2743624427371428
0.255,0.7200379098747143,-0.25107455748748264,0.33347703184159844,0.2701391609037719
0.26,0.7079280159172379,-0.26778704272953735,0.32773516499526284,0.26588586849091184
0.265,0.6960888637767639,-0.2846769202619185,0.3219151186620903,0.2616053558838111
0.27,0.6838973112587758,-0.3017117396385418,0.316018538055907,0.2573004619887439
0.275,0.6714157730090677,-0.3188594471636922,0.31004708680558013,0.25297407483157386
0.28,0.6592890194414602,-0.33608847923410656,0.3040024460839631,0.2486291323680115
0.285,0.6467641411187135,-0.3533678530534371,0.29788631373470925,0.24426862352782444
0.29,0.6341026588747414,-0.3706672544173639,0.2917004033987372,0.23989558951544734
0.295,0.6215486257532926,-0.38795712227991896,0.28544644364210836,0.2355131253894004
0.3,0.6087390793823124,-0.40520872982489464,0.2791261770870534,0.2311243819426034
0.305,0.595762443730518,-0.4223942617805073,0.2727413595478486,0.22673256790499302
0.31,0.5829850236422516,-0.4394868877306932,0.26629375917321063,0.22234095248871444
0.315,0.5699129360753784,-0.45646083119248093,0.2597851555968289,0.21795286829444951
0.32,0.5568160913206726,-0.47329143424574627,0.25321733909760935,0.21357171459500654
0.325,0.543791638463464,-0.48995521751923976,0.24659210977114754,0.20920096100895355
0.33,0.5305931926898914,-0.5064299353550319,0.23991127671388882,0.20484415157258576
