Complexity,Loss,Equation
1,0.38873827,"0.9592698"
3,0.3866181,"x0 + 0.409275"
4,0.36716926,"cos(0.10017836 / x0)"
5,0.36716923,"cos(sin(0.10034857) / x0)"
6,0.3652929,"cos(-1.0328633 + x0) / 0.8856006"
7,0.34621415,"cos(sin(-19.366856 * x0)) - -0.2036767"
8,0.34356284,"cos(sin(-19.366856 * x0)) / sin(0.9168096)"
9,0.33522904,"cos(cos(x0)) / cos(cos(x0 * -19.508173))"
10,0.334011,"cos(sin(cos(x0))) / cos(cos(x0 * -19.508173))"
11,0.33328468,"cos(cos(x0)) / (cos(cos(x0 * -19.508173)) / 1.0415221)"
12,0.33127484,"cos(cos(cos(x0 + 1.8402464))) / cos(cos(x0 * -19.508173))"
13,0.3147137,"cos(sin((-19.340628 - (sin(0.3681781) / x1)) * x0)) / cos(x0)"
14,0.31329903,"cos(sin((-19.340628 - (0.3681781 / x1)) * x0)) / sin(cos(sin(x0)))"
16,0.31311733,"cos(sin((-19.340628 - (0.3681781 / x1)) * x0)) / sin(cos(sin(0.9592698) * x0))"
17,0.3125647,"cos(sin((-19.340628 - (0.3681781 / x1)) * x0)) / sin(cos(sin(log(2.8487277)) * x0))"
18,0.30789578,"cos(sin((-19.340628 - (0.3681781 / x1)) * x0) * 1.0931467) / sin(cos(cos(0.3681781) * x0))"
20,0.3070167,"cos(sin((-19.340628 - (0.3681781 / x1)) * x0)) / sin(cos(cos(log(exp(0.409275) / x1)) * x0))"
